Время,Координата,Сера
117.303,833.333,200
117.303,848.485,200
117.303,863.636,200
117.303,878.788,200
117.303,893.939,200
117.303,909.091,200
117.303,924.242,200
117.303,939.394,200
117.303,954.545,200
117.303,969.697,200
117.303,984.848,200
117.303,1000,200
117.303,1015.15,200
117.303,1030.3,200
117.303,1045.45,200
117.303,1060.61,200
117.303,1075.76,200
117.303,1090.91,200
117.303,1106.06,200
117.303,1121.21,200
117.303,1136.36,200
117.303,1151.52,200
117.303,1166.67,200
117.303,1181.82,200
117.303,1196.97,200
117.303,1212.12,200
117.303,1227.27,200
117.303,1242.42,200
117.303,1257.58,200
117.303,1272.73,200
117.303,1287.88,200
117.303,1303.03,200
117.303,1318.18,200
117.303,1333.33,200
117.303,1348.48,200
117.303,1363.64,200
117.303,1378.79,200
117.303,1393.94,200
117.303,1409.09,200
117.303,1424.24,200
117.303,1439.39,200
117.303,1454.55,200
117.303,1469.7,200
117.303,1484.85,200
117.303,1500,200
127.965,0,289
127.965,15.1515,289
127.965,30.303,289
127.965,45.4545,289
127.965,60.6061,289
127.965,75.7576,289
127.965,90.9091,289
127.965,106.061,289
127.965,121.212,289
127.965,136.364,289
127.965,151.515,289
127.965,166.667,289
127.965,181.818,200
127.965,196.97,200
127.965,212.121,200
127.965,227.273,200
127.965,242.424,200
127.965,257.576,200
127.965,272.727,200
127.965,287.879,200
127.965,303.03,200
127.965,318.182,200
127.965,333.333,200
127.965,348.485,200
127.965,363.636,200
127.965,378.788,200
127.965,393.939,200
127.965,409.091,200
127.965,424.242,200
127.965,439.394,200
127.965,454.545,200
127.965,469.697,200
127.965,484.848,200
127.965,500,200
127.965,515.152,200
127.965,530.303,200
127.965,545.455,200
127.965,560.606,200
127.965,575.758,200
127.965,590.909,200
127.965,606.061,200
127.965,621.212,200
127.965,636.364,200
127.965,651.515,200
127.965,666.667,200
127.965,681.818,200
127.965,696.97,200
127.965,712.121,200
127.965,727.273,200
127.965,742.424,200
127.965,757.576,200
127.965,772.727,200
127.965,787.879,200
127.965,803.03,200
127.965,818.182,200
127.965,833.333,200
127.965,848.485,200
127.965,863.636,200
127.965,878.788,200
127.965,893.939,200
127.965,909.091,200
127.965,924.242,200
127.965,939.394,200
127.965,954.545,200
127.965,969.697,200
127.965,984.848,200
127.965,1000,200
127.965,1015.15,200
127.965,1030.3,200
127.965,1045.45,200
127.965,1060.61,200
127.965,1075.76,200
127.965,1090.91,200
127.965,1106.06,200
127.965,1121.21,200
127.965,1136.36,200
127.965,1151.52,200
127.965,1166.67,200
127.965,1181.82,200
127.965,1196.97,200
127.965,1212.12,200
127.965,1227.27,200
127.965,1242.42,200
127.965,1257.58,200
